[HEADER]
START_TIME: 237687177 usec
ELAPSED_TIME: 114568159 usec
RELAY_STATE: 0
ACCELERATION_DATA: PERIOD SAMPLE NUMBER INDEX
1600 HZ 183264 X,Y,Z
[END OF HEADER]

334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
334,257,257
953,-788,16904
647,-484,16594
697,-495,16239
652,-614,16245
831,-788,16813
580,-383,16712
379,-158,16453
117,-51,16239
89,151,16695
72,281,17089
-90,-23,16588
317,-265,17247
89,-220,16740
133,61,16791
16,219,16419
0,123,16290
340,-96,16695
340,-45,16971
-56,219,16588
-12,376,16566
61,-107,16701
401,-130,17140
89,168,16622
-12,326,16532
22,78,16492
357,-169,17027
234,33,16859
94,5,16757
122,16,16667
312,-34,16864
334,-102,16735
100,151,16616
78,106,16515
172,33,16656
368,-74,16954
245,101,16870
22,230,16391
50,90,16374
373,-147,16808
206,-135,17073
55,95,16475
-23,174,16436
278,-152,17033
161,135,16583
-51,163,16357
295,-34,16673
323,-141,16943
150,180,16757
-73,281,16363
267,-40,16402
396,-192,16881
133,135,16718
-45,191,16430
89,28,16436
384,-231,16904
55,84,16751
-45,433,16408
145,-51,16453
357,-29,16847
72,118,16233
-6,292,16430
150,28,16684
340,-130,16718
122,225,16830
16,343,16414
122,5,16515
351,-130,16695
340,-68,16904
0,196,16414
284,45,16464
211,-124,16780
329,-119,16853
0,225,16459
128,-17,16318
329,-192,16498
-6,309,16453
89,146,16459
-90,213,16430
267,-158,16532
334,-34,16926
50,247,16667
-73,61,16335
228,5,16475
295,-169,16678
89,180,16763
-123,73,16459
150,50,16690
312,-237,16768
211,16,16836
-23,61,16475
50,146,16633
161,-34,16588
-23,73,16690
-101,140,16757
-129,123,16797
167,-79,16768
273,-85,16904
167,225,16723
206,157,16397
278,-68,16566
256,-130,16797
145,-147,16763
44,73,16690
83,-29,17022
184,-40,16982
50,236,16718
111,213,16397
133,174,16549
317,-34,16926
161,140,16628
-34,129,16397
128,16,16825
323,-6,17129
-62,112,16926
72,5,16566
211,118,16543
295,-74,16847
178,118,16616
100,45,16323
245,-225,16684
105,-79,16909
94,129,16515
27,230,16397
39,61,16712
217,-12,16937
33,213,16622
-23,213,16521
273,-107,16825
329,-90,17056
33,5,16475
-73,78,16419
189,-45,16605
290,-57,16943
145,135,16633
78,213,16323
161,-113,16554
251,0,16853
16,123,16605
-84,174,16256
100,208,16695
217,39,16971
117,-135,16656
44,157,16475
44,90,16656
189,-74,16791
217,33,16780
5,78,16414
-112,151,16357
172,-135,16768
234,-209,16870
-23,174,16481
-95,163,16284
340,-107,16408
485,-152,16656
11,129,16690
-28,163,16650
150,0,16870
66,33,16690
22,208,16357
161,67,16453
440,-62,16791
273,-45,16712
11,275,16498
0,185,16385
234,-68,17073
100,-23,16802
-106,230,16583
278,-119,16447
351,-130,16656
189,78,16830
-101,191,16346
156,-79,16999
312,-147,16926
78,84,16971
50,275,16628
100,230,16549
267,-6,16780
195,-119,16926
-28,303,16475
-45,258,16414
357,-197,16898
306,-17,16830
78,298,16498
-40,33,16368
306,-90,16830
357,56,16909
-28,174,16594
284,-113,16920
267,-107,16690
251,45,16774
22,315,16436
72,28,16380
184,-113,16729
234,-141,16943
94,163,16301
-129,230,16374
211,-113,16661
407,-51,16937
-34,146,16690
-17,168,16526
161,16,16605
284,-74,17084
111,-62,16690
117,174,16599
133,28,16616
329,-107,16594
251,-203,16554
44,309,16447
-123,213,16577
167,-152,16875
111,-107,17078
33,123,17061
27,253,16526
145,-180,16295
189,225,16757
-40,208,16509
-34,-34,16735
256,-152,16954
78,5,17078
172,-6,16588
33,135,16526
228,-12,16526
273,-147,16892
50,185,16526
44,303,16481
245,-62,16735
228,-40,16847
133,202,16785
44,264,16549
78,-147,16774
295,-113,16870
161,101,16515
22,112,16273
161,-51,16532
317,-6,16695
33,146,16205
22,33,16605
39,33,16909
128,5,16937
94,16,16915
-51,151,16447
117,112,16436
145,-74,16419
340,-186,16768
50,123,16425
50,174,16256
128,-158,16729
245,-23,16960
5,118,16836
-79,213,16504
167,-79,16543
-12,135,16447
27,5,16611
50,163,16329
61,95,16436
211,-192,16650
256,-85,16712
-28,326,16616
78,129,16583
211,22,16774
33,185,16751
150,0,16915
78,202,16526
61,106,16419
384,-45,16954
379,-40,16966
-34,264,16397
117,191,16346
111,39,16909
295,-96,16887
-84,326,16453
-67,343,16532
295,-231,16920
223,78,16864
-67,241,16639
27,146,16583
228,-147,16954
278,-102,17242
-140,236,16881
94,135,16656
122,-147,16808
206,-186,17140
39,-6,17287
211,-254,17219
-84,61,17095
200,-242,17118
200,-164,17613
94,-68,17185
-17,-141,16988
245,-422,17219
412,-332,17450
306,-332,17551
78,-147,17050
323,-479,17135
674,-608,17472
462,-512,17371
485,-321,16988
446,-495,17033
641,-906,17337
485,-428,16875
557,-456,16954
462,-512,16960
652,-810,17191
875,-929,17264
647,-574,17027
535,-456,16870
948,-794,17140
970,-900,17180
797,-670,17309
714,-659,16870
864,-737,17027
909,-1019,17005
825,-827,17135
741,-743,16926
758,-810,16695
641,-940,16853
635,-951,16780
262,-749,16639
184,-895,16301
150,-1154,16121
228,-1249,16402
-162,-1142,16380
-441,-1114,15952
-413,-1350,15771
-419,-1604,15771
-101,-1750,15895
-263,-1739,15749
-369,-1716,15400
-402,-1969,15343
-212,-1964,15721
-307,-1930,15405
-123,-2200,15771
94,-1902,15569
267,-2025,16222
-6,-1851,16121
-101,-1671,15653
-67,-1902,15833
-51,-2003,16228
-17,-2037,15721
-151,-1716,15895
-123,-1755,16053
122,-2014,16205
-101,-1851,16126
-346,-1705,15681
-162,-1913,15839
100,-2070,15890
-79,-1924,16177
-285,-1789,16064
172,-1750,15422
362,-1654,16312
83,-1272,16926
156,-1384,16081
-56,-1412,15693
-123,-1598,16098
-274,-1463,16346
-40,-1238,15850
-274,-1356,15366
-447,-1311,15895
-357,-1485,16211
-285,-1452,15546
-224,-1249,15411
-397,-1452,16036
-218,-1682,16098
-475,-1367,15653
-491,-1322,15563
-603,-1418,15524
-737,-1480,16104
-692,-1350,15783
-419,-1289,15400
-703,-1058,15676
-809,-1159,16109
-330,-1587,15473
-631,-1170,15794
-860,-951,15816
-620,-1277,15473
-530,-1215,15980
-581,-1193,15839
-943,-968,15833
-748,-1002,15495
-597,-1187,15619
-860,-810,15743
-664,-1035,15687
-625,-788,15557
-714,-743,15580
-899,-912,16002
-575,-743,15850
-670,-799,15828
-519,-822,16290
-469,-636,16329
-503,-287,16138
7301,4095,32767
-3688,5664,23426
-2109,973,15653
3932,258,28761
1522,-518,13941
-642,-794,13473
-2633,236,17135
1048,-1277,12014
546,-850,12369
-2198,748,15608
-1546,596,13530
-369,-614,14042
-73,-574,14696
-1401,95,15664
-1010,-29,15507
-369,-254,14183
-1122,1147,17653
-1099,1260,20323
-224,1513,22001
-659,1591,18261
-776,1085,15715
-357,641,15118
-1116,838,14222
-943,725,14718
-692,264,14825
-882,736,14645
-1133,961,14566
-547,1141,16047
2108,2829,31217
-1880,3071,22503
-1624,1614,18734
373,253,14358
122,-68,13152
-1334,1085,15805
-1568,1665,15614
-240,1417,16887
39,1580,18374
-1406,1845,17326
-1205,1321,16819
-664,990,15484
-1055,973,15293
-1256,1175,15991
-352,1051,16019
234,916,16616
139,787,16408
290,219,16605
412,-237,16994
457,196,17230
0,984,17011
-291,1158,16887
334,871,17022
524,697,16847
78,804,17157
145,990,17168
479,753,17247
546,1035,17208
200,1344,17084
133,1271,16892
351,995,17185
440,804,17388
-56,748,17292
-134,337,16870
635,225,16363
1232,635,16081
875,1186,16019
613,1130,15067
691,1316,15862
747,765,16521
719,590,16053
641,618,16143
552,781,16301
719,472,16594
652,596,16425
362,1012,16391
239,871,16199
585,568,16543
619,641,16926
557,1001,16447
541,1035,16599
546,765,16780
541,781,17146
295,1220,16712
306,1051,16368
741,843,16842
697,933,17123
546,1080,16847
401,1338,16644
513,1096,17011
786,1175,17275
624,1496,17112
317,1563,16853
697,1423,17078
847,1305,17101
541,1473,17191
435,1552,16966
658,1389,17067
803,1226,17264
574,1440,17095
585,1783,16904
596,1524,16881
747,1361,17180
719,1552,17039
541,1687,16791
524,1732,16785
624,1485,16999
875,1293,17067
786,1552,16915
596,1698,16594
714,1338,16577
870,1220,16842
1015,1119,17022
775,1530,16571
892,1299,16701
886,1310,16864
758,1468,16847
619,1575,16475
764,1226,16763
647,1518,16678
786,1395,16881
652,1440,16735
697,1434,16470
898,1175,16583
1037,1260,16971
842,1344,16515
669,1445,16306
753,1366,16295
1037,1164,16842
792,1248,16475
384,1198,16109
89,315,15636
591,-614,15935
803,-439,16442
440,16,15952
396,202,16076
591,298,16273
390,50,16239
111,50,15822
390,-124,15816
680,-214,16475
401,135,16149
379,236,16036
234,202,15721
591,-349,16250
563,22,16447
306,315,16019
262,208,15957
485,-180,16374
697,-152,16554
189,163,16047
412,-158,16397
412,5,16295
485,-209,16492
284,-34,16504
105,191,16245
122,-34,16492
390,-209,16842
278,-102,16701
133,292,16526
184,112,16475
334,-62,16532
312,-180,16605
145,174,16453
94,225,16138
